,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,kolor 1,kolor 2,kolor 3,kolor 4,kolor 5,,,,,,,
,Lakier,,200,50,50,50,50,,,,,,,
,,,,,,,,,,,,,,
,,,stage 1,stage 2,stage 3,,,,,,,,,
,Szyby,,"$200,00","$250,00","$300,00",,,,,,,,,
,Livery,,"$500,00",,,,,,,,,,,
,Immo,,??,,,,,,,,,,,
,Alarm,,??,,,,,,,,,,,
,,,,,,,,,,,,,,
,Hydraulika,,??,,,,,,,,,,,
,,,0-10k,10-30k,30k>,,,,,,,,,
,Spoiler,,"$400,00",4%,2%,,,,,,,,,
,Przód zderzak,,"$400,00",4%,2%,,,,PROGI,,,,,
,tył zderzak,,"$400,00",4%,2%,,,,0-10,,,,,
,klatka,,"$400,00",4%,2%,,,,10-30k,,,,,
,maska,,"$400,00",4%,2%,,,,30>,,,,,
,dach,,"$400,00",4%,2%,,,,,,,,,
,,,,,,,,,,,,,,
,progi,,"$200,00",4%,2%,,,,,,,,,
,błotnik lewy,,"$200,00",4%,2%,,,,,,,,,
,błotnik prawy,,"$200,00",4%,2%,,,,,,,,,
,,,,,,,,,,,,,,
,wydech,,"$150,00",4%,2%,,,,,,,,,
,grill,,"$150,00",4%,2%,,,,,,,,,
,xenon,,"$150,00",4%,2%,,,,,,,,,
,,,,,,,,,,,,,,
,24,,"$100,00",4%,2%,,,,,,,,,
,25,,"$100,00",4%,2%,,,,,,,,,
,26,,"$100,00",4%,2%,,,,,,,,,
,27,,"$100,00",4%,2%,,,,,,,,,
,28,,"$100,00",4%,2%,,,,,,,,,
,29,,"$100,00",4%,2%,,,,,,,,,
,30,,"$100,00",4%,2%,,,,,,,,,
,31,,"$100,00",4%,2%,,,,,,,,,
,32,,"$100,00",4%,2%,,,,,,,,,
,33,,"$100,00",4%,2%,,,,,,,,,
,34,,"$100,00",4%,2%,,,,,,,,,
,35,,"$100,00",4%,2%,,,,,,,,,
,36,,"$100,00",4%,2%,,,,,,,,,
,37,,"$100,00",4%,2%,,,,,,,,,
,39,,"$100,00",4%,2%,,,,,,,,,
,40,,"$100,00",4%,2%,,,,,,,,,
,41,,"$100,00",4%,2%,,,,,,,,,
,42,,"$100,00",4%,2%,,,,,,,,,
,43,,"$100,00",4%,2%,,,,,,,,,
,44,,"$100,00",4%,2%,,,,,,,,,
,45,,"$100,00",4%,2%,,,,,,,,,
,,,,,,,,,,,,,,
,,,lowrider/street,,,,,,,,,,,
,felgi,400,600,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,PRZYKŁADY,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,cena auta,stage 1,stage 2,stage 3,stage 4
,,,5%,6%,8%,10%,,30k>,,50000,3500,4500,6000,8000
,,,10%,14%,17%,20%,,10k-30k,,20000,3000,4300,5400,7000
,,,stage 1,stage 2,stage 3,stage 4,,,,,,,,
,silnik,,1000,1500,2000,3000,,0-10k,,10000,1000,1500,2000,3000
,,,,,,,,,,,,,,
,,,,,,,,,,cena auta,stage 1,stage 2,stage 3,
,,,2%,3%,5%,,,30k>,,50000,1500,2200,3400,
,,,6%,10%,13%,,,10k-30k,,20000,1700,2700,3500,
,,,stage 1,stage 2,stage 3,,,,,,,,,
,hamulce,,500,700,900,,,0-10k,,10000,500,700,900,
,,,,,,,,,,,,,,
,,,,,,,,,,cena auta,stage 1,stage 2,stage 3,
,,,5%,6%,8%,,,30k>,,50000,3500,4500,6000,
,,,10%,14%,17%,,,10k-30k,,20000,3000,4300,5400,
,,,stage 1,stage 2,stage 3,,,,,,,,,
,skrzynia,,1000,1500,2000,,,0-10k,,10000,1000,1500,2000,
,,,,,,,,,,,,,,
,,,,,,,,,,cena auta,stage 1,stage 2,stage 3,stage 4
,,,2%,3%,5%,6%,,30k>,,50000,1500,2200,3400,4100
,,,6%,10%,13%,15%,,10k-30k,,20000,1700,2700,3500,4100
,,,stage 1,stage 2,stage 3,stage 4,,,,,,,,
,zawiecha,,500,700,900,1100,,0-10k,,10000,500,700,900,1100
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,cena auta,stage 1,,,
,,,10%,,,,,30k>,,50000,6000,,,
,,,20%,,,,,10k-30k,,20000,5000,,,
,,,stage 1,,,,,,,,,,,
,turbo,,1000,,,,,0-10k,,10000,1000,,,
